2026-03-07 17:56:40 | INFO     | GatewayMapper | 端口转发已启动: 127.0.0.1:18789 -> 127.0.0.1:18789
2026-03-07 17:56:40 | INFO     | GatewayMapper | 连接成功: 122.51.4.170
2026-03-07 17:56:44 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 14258)
2026-03-07 17:56:45 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 14260)
2026-03-07 17:56:52 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 14282)
2026-03-07 17:56:52 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 14284)
2026-03-07 17:56:53 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 14297)
2026-03-07 17:56:53 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 14298)
2026-03-07 17:56:54 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 14301)
2026-03-07 17:56:54 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 14305)
2026-03-07 17:57:00 | INFO     | GatewayMapper | 正在停止端口转发...
2026-03-07 17:57:00 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 14308)
2026-03-07 17:57:00 | INFO     | GatewayMapper | 端口转发已停止
2026-03-07 17:57:00 | INFO     | GatewayMapper | SSH 连接已断开
2026-03-07 17:57:00 | INFO     | GatewayMapper | 已断开连接
2026-03-07 17:57:03 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-07 17:57:03 | INFO     | GatewayMapper | 使用密码认证连接 122.51.4.170
2026-03-07 17:57:03 | INFO     | GatewayMapper | SSH 连接成功: root@122.51.4.170:22
2026-03-07 17:57:03 | INFO     | GatewayMapper | 端口转发已启动: 127.0.0.1:18789 -> 127.0.0.1:18789
2026-03-07 17:57:03 | INFO     | GatewayMapper | 连接成功: 122.51.4.170
2026-03-07 17:57:03 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 14310)
2026-03-07 17:57:03 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 14313)
2026-03-07 17:57:03 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 14315)
2026-03-07 17:57:03 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 14317)
2026-03-07 17:57:08 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-07 17:57:09 | INFO     | GatewayMapper | 已打开浏览器: http://localhost:18789
2026-03-07 17:57:09 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 14338)
2026-03-07 17:57:09 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 14339)
2026-03-07 17:57:11 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 14353)
2026-03-07 17:57:15 | INFO     | GatewayMapper | 正在停止端口转发...
2026-03-07 17:57:15 | DEBUG    | GatewayMapper | 接受新连接: ('127.0.0.1', 14375)
2026-03-07 17:57:15 | INFO     | GatewayMapper | 端口转发已停止
2026-03-07 17:57:15 | INFO     | GatewayMapper | SSH 连接已断开
2026-03-07 17:57:15 | INFO     | GatewayMapper | 已断开连接
2026-03-07 17:57:19 | INFO     | GatewayMapper | 系统托盘已停止
2026-03-07 17:57:19 | INFO     | GatewayMapper | GatewayMapper 已退出
2026-03-07 17:57:20 | INFO     | GatewayMapper | 系统托盘已停止
2026-03-07 17:57:20 | INFO     | GatewayMapper | GatewayMapper 已退出
